,last_url_element,counts
316,ni,11
317,pa,11
318,O_145,11
319,O_1305,11
320,O_664,11
321,O_590,11
322,O_808,11
323,O_768,11
324,O_103,11
325,matchAll,11
326,lemon64.com,11
327,O_523,11
328,O_89,11
329,ws,11
330,shtm,11
331,O_55,11
332,dhtml,11
333,im,11
334,O_1475,11
335,tiff,10
336,projectm,10
337,gt,10
338,tz,10
339,O_474,10
340,O_204,10
341,D.2020-02-08,10
342,uniroma2.it,10
343,O_79,10
344,O_16,10
345,press,10
346,berlin,10
347,O_882,10
348,O_1449,10
349,values,10
350,_4),10
351,O_769,10
352,pp,10
353,O_938,10
354,O_1159,10
355,O_816,10
356,D.1981-06-30,10
357,O_1002,10
358,O_1068,10
359,O_311,10
360,O_629,10
361,O_954,10
362,O_1320,10
363,nyc,9
364,O_188,9
365,O_593,9
366,O_386,9
367,nc,9
368,O_95,9
369,i2p,9
370,O_518,9
371,рф,9
372,O_378,9
373,pt:82,9
374,spectrum,9
375,html#1,9
376,O_1263,9
377,O_1192,9
378,O_1227,9
379,news24.com,9
380,archives28.fr,9
381,mn,9
382,O_141,9
383,tj,9
384,O_12,9
385,O_866,9
386,O_660,9
387,D.1977-07-05,9
388,tarragona2018.cat,9
389,iq,9
390,O_244,9
391,O_101,9
392,O_648,9
393,O_554,9
394,O_1030,9
395,O_2156,9
396,O_360,9
397,O_993,9
398,O_150,9
399,O_1246,9
400,nrw,9
401,O_373,9
402,O_510,9
403,mpl,9
404,O_212,9
405,O_889,9
406,O_72,9
407,Sl,9
408,O_595,9
409,O_871,9
410,mz,9
411,site,9
412,tv2.no,9
413,O_380,9
414,S.1922-12-06,9
415,O_638,9
416,O_412,9
417,O_164,9
418,O_1209,8
419,O_1210,8
420,O_646,8
421,O_224,8
422,D.2002-06-06,8
423,O_1280,8
424,VISUALIZAR,8
425,handball123.com,8
426,M_317,8
427,D.1927-06-23,8
428,O_635,8
429,O_375,8
430,pg,8
431,O_367,8
432,O_1022,8
433,international,8
434,O_354,8
435,O_2019,8
436,M_615,8
437,O_896,8
438,O_1731,8
439,tvserver,8
440,O_908,8
441,O_668,8
442,O_169,8
443,O_134,8
444,O_1037,8
445,O_65,8
446,O_583,8
447,O_331,8
448,D.1937-07-21,8
449,A_411,8
450,O_823,8
451,O_243,8
452,O_1404,8
453,O_1983,8
454,O_1005,8
455,O_613,8
456,O_23,8
457,O_80,8
458,sevilla,8
459,O_1297,8
460,O_215,8
461,O_415,8
462,O_2,8
463,univ-tlse2.fr,8
464,O_981,8
465,documenta14.de,8
466,O_419,8
467,O_1161,8
468,O_1697,8
469,O_241,8
470,O_214,8
471,O_121,8
472,O_462,8
473,zw,8
474,O_339,8
475,sn,8
476,O_128,8
477,O_698,8
478,O_1213,8
479,O_711,8
480,O_436,8
481,O_1285,8
482,O_603,8
483,O_19,8
484,O_1435,8
485,O_891,8
486,O_50,8
487,O_835,8
488,O_1470,8
489,D.1987-03-10,8
490,D.2011-03-09,8
491,O_865,8
492,O_809,8
493,O_114,8
494,O_676,8
495,gif,7
496,O_1064,7
497,O_1093,7
498,O_1395,7
499,O_1095,7
500,M_324,7
501,univ-paris1.fr,7
502,O_1546,7
503,O_1035,7
504,O_2197,7
505,O_2029,7
506,O_1120,7
507,O_238,7
508,M_2,7
509,O_480,7
510,O_1103,7
511,O_1782,7
512,O_1039,7
513,O_1833,7
514,O_536,7
515,O_543,7
516,O_2304,7
517,O_476,7
518,O_1038,7
519,O_180,7
520,asp#editorial,7
521,O_869,7
522,O_624,7
523,D.1954-06-02,7
524,O_1646,7
525,O_1372,7
526,O_963,7
527,M_372,7
528,O_498,7
529,D.1969-07-02,7
530,O_52,7
531,M_322,7
532,D.1948-02-18,7
533,O_1090,7
534,O_524,7
535,O_274,7
536,O_1393,7
537,O_806,7
538,O_2367,7
539,O_729,7
540,D.2007-06-14,7
541,O_1250,7
542,O_732,7
543,O_504,7
544,nporadio1.nl,7
545,O_691,7
546,regio7.cat,7
547,M_273,7
548,O_1033,7
549,O_682,7
550,O_614,7
551,O_195,7
552,O_1772,7
553,ly,7
554,O_140,7
555,O_1081,7
556,D.1922-09-09,7
557,O_36,7
558,O_88,7
559,O_428,7
560,O_255,7
561,city,7
562,O_998,7
563,ax,7
564,O_157,7
565,kw,7
566,O_1257,7
567,D.1992-12-14,7
568,O_264,7
569,O_1765,7
570,O_1027,7
571,O_110,7
572,O_308,7
573,O_663,7
574,O_247,7
575,r7.com,7
576,O_201,7
577,O_497,7
578,zx2c4.com,7
579,O_256,7
580,O_227,7
581,tab=0,7
582,O_391,7
583,O_127,7
584,O_175,7
585,O_1121,7
586,O_719,7
587,O_1178,7
588,O_811,7
589,O_898,7
590,M_624,7
591,O_1220,7
592,O_1434,7
593,O_68,7
594,O_1333,7
595,O_98,7
596,O_249,7
597,O_1092,7
598,K_1269,7
599,O_348,7
600,O_54,7
601,travel,7
602,O_1138,6
603,O_236,6
604,O_572,6
605,M_46,6
606,O_750,6
607,htm#onthisPage-24,6
608,assetdetail.9486060.html,6
609,texteImage,6
610,O_1013,6
611,D.1932-03-09,6
612,O_2260,6
613,O_1502,6
614,O_2211,6
615,O_404,6
616,O_2345,6
617,O_1313,6
618,O_460,6
619,O_2350,6
620,O_197,6
621,O_439,6
622,O_1763,6
623,S.1922-06-12,6
624,O_6,6
625,O_441,6
626,O_3204,6
627,A_208,6
628,gm,6
629,O_2842,6
630,O_335,6
631,html#con,6
632,saarland,6
633,O_873,6
634,O_2064,6
635,O_1375,6
636,A_2495,6
637,org:8080,6
638,O_2331,6
639,O_1643,6
640,O_1457,6
641,A_1237,6
642,O_1134,6
643,O_430,6
644,O_1574,6
645,A_876,6
646,O_417,6
647,O_1364,6
648,A_2509,6
649,O_1003,6
650,cv,6
651,O_1432,6
652,O_709,6
653,O_63,6
654,M_525,6
655,O_943,6
656,public,6
657,O_1049,6
658,A_1013,6
659,O_1087,6
660,langFR,6
661,O_1974,6
662,O_555,6
663,M_667,6
664,O_1490,6
665,O_1078,6
666,O_2091,6
667,O_78,6
668,a16-01.com,6
669,O_1163,6
670,jsp#PUNJABI,6
671,O_1094,6
672,gent,6
673,O_2063,6
674,file,6
675,O_1086,6
676,O_591,6
677,O_2639,6
678,O_1184,6
679,cymru,6
680,O_797,6
681,mvc,6
682,O_1301,6
683,O_332,6
684,O_1031,6
685,rsxs,6
686,O_2349,6
687,O_1105,6
688,O_654,6
689,O_1047,6
690,protection#!,6
691,O_1205,6
692,O_2376,6
693,O_2045,6
694,O_1673,6
695,O_1060,6
696,O_505,6
697,O_738,6
698,O_1422,6
699,bt,6
700,O_924,6
701,O_250,6
702,O_529,6
703,O_1298,6
704,A_974,6
705,O_2009,6
706,O_2126,6
707,O_1237,6
708,O_822,6
709,O_2231,6
710,O_1351,6
711,O_2306,6
712,_3,6
713,qa,6
714,O_100,6
715,O_334,6
716,O_1514,6
717,O_2217,6
718,O_1286,6
719,O_1510,6
720,O_43,6
721,O_297,6
722,artsobituaries,6
723,gebaeude_wohnungs_register,6
724,O_644,6
725,O_414,6
726,O_1451,6
727,O_1145,6
728,O_1369,6
729,faces,6
730,O_620,6
731,O_1042,6
732,_001.jpg,6
733,O_696,6
734,O_38,6
735,O_834,6
736,gi,6
737,M_470,6
738,O_423,6
739,O_406,6
740,O_1408,6
741,A_67,6
742,ihk24.de,6
743,O_2294,6
744,archives13.fr,6
745,O_1447,6
746,lanoticia1.com,6
747,merite-maritime29.org,6
748,O_231,6
749,O_1979,6
750,en,6
751,O_1000,5
752,note,5
753,O_680,5
754,M_348,5
755,O_46,5
756,O_10,5
757,O_1389,5
758,O_337,5
759,D.1961-10-11,5
760,O_507,5
761,php5,5
762,woa,5
763,_1,5
764,O_108,5
765,O_2461,5
766,O_1272,5
767,O_353,5
768,tag24.de,5
769,O_1137,5
770,O_1211,5
771,O_643,5
772,la,5
773,O_338,5
774,O_553,5
775,O_1620,5
776,O_288,5
777,O_1200,5
778,O_803,5
779,O_742,5
780,O_1527,5
781,O_464,5
782,A_1527,5
783,O_469,5
784,O_1106,5
785,O_2832,5
786,antena3.ro,5
787,O_1199,5
788,O_1294,5
789,koeln,5
790,O_1278,5
791,_002.jpg,5
792,O_964,5
793,A_5885,5
794,O_2751,5
795,O_2297,5
796,O_1318,5
797,O_254,5
798,O_955,5
799,O_678,5
800,D.1943-07-01,5
801,YQRES.2008.03.006,5
802,O_1331,5
803,O_1177,5
804,O_1270,5
805,O_1058,5
806,O_2577,5
807,O_424,5
808,O_669,5
809,ga,5
810,O_520,5
811,O_2898,5
812,O_1522,5
813,O_796,5
814,O_1516,5
815,O_1179,5
816,O_109,5
817,O_1230,5
818,O_584,5
819,O_323,5
820,O_448,5
821,O_844,5
822,O_300,5
823,A_2279,5
824,O_5824,5
825,O_995,5
826,O_356,5
827,O_534,5
828,O_810,5
829,O_2382,5
830,O_1739,5
831,O_744,5
832,O_342,5
833,O_1452,5
834,O_123,5
835,education,5
836,O_1226,5
837,O_874,5
838,D.1933-02-08,5
839,in:8080,5
840,O_2121,5
841,A_2386,5
842,O_2985,5
843,innovatorsunder35.com,5
844,O_1247,5
845,O_2165,5
846,O_1354,5
847,O_1355,5
848,O_627,5
849,_Kirk,5
850,O_167,5
851,O_443,5
852,v2.php,5
853,O_2607,5
854,O_189,5
855,O_2024,5
856,O_278,5
857,O_1857,5
858,O_1665,5
859,O_149,5
860,d,5
861,O_174,5
862,O_1828,5
863,O_1148,5
864,O_60,5
865,O_3211,5
866,A_1292,5
867,O_3210,5
868,O_1158,5
869,O_1074,5
870,aspx#,5
871,O_83,5
872,O_3168,5
873,O_2889,5
874,link,5
875,A_1041,5
876,D.1965-04-21,5
877,A_1582,5
878,O_161,5
879,O_687,5
880,O_1515,5
881,O_1238,5
882,O_1419,5
883,O_526,5
884,hnt2.telep,5
885,A_1179,5
886,O_1359,5
887,O_420,5
888,O_253,5
889,_005.jpg,5
890,A_1415,5
891,O_139,5
892,O_433,5
893,O_571,5
894,O_1416,5
895,quebec,5
896,O_315,5
897,O_5528,5
898,O_665,5
899,O_2874,5
900,O_727,5
901,O_2729,5
902,fj,5
903,O_30,5
904,O_513,5
905,M_1680,5
906,O_1445,5
907,O_2275,5
908,aos,5
909,promisify,5
910,O_75,5
911,O_780,5
912,O_1474,5
913,O_1970,5
914,bh,5
915,O_2872,5
916,O_302,5
917,O_661,5
918,O_843,5
919,refinery29.com,5
920,ods,5
921,A_1596,5
922,O_776,5
923,O_35,5
924,O_2032,5
925,O_1109,5
926,O_2340,5
927,O_352,5
928,O_2255,5
929,O_115,5
930,O_1146,5
931,O_626,5
932,A_887,5
933,O_1339,5
934,O_984,5
935,O_853,5
936,O_136,5
937,w3p,5
938,O_1627,5
939,DOC,5
940,O_1040,5
941,csp,5
942,O_801,5
943,A_2108,5
944,O_1010,5
945,O_903,5
946,O_537,5
947,A_125,5
948,O_327,5
949,store,5
950,O_804,5
951,O_545,5
952,O_712,5
953,O_1521,5
954,O_2336,5
955,O_1623,5
956,O_226,5
957,O_432,5
958,O_251,5
959,O_73,5
960,M_705,5
961,O_42,5
962,aoap,5
963,O_1335,5
964,Jpeg,5
965,O_560,5
966,O_538,5
967,O_2612,5
968,O_349,5
969,O_1594,5
970,M_220,5
971,O_3140,5
972,O_102,5
973,O_916,5
974,O_1113,5
975,O_2292,5
976,O_707,5
977,O_1061,5
978,O_1207,5
979,O_1032,5
980,O_234,5
981,O_365,5
982,O_492,5
983,O_947,5
984,O_771,5
985,O_2320,5
986,O_58,5
987,A_1182,5
988,M_1940,5
989,O_1076,5
990,O_3066,5
991,O_129,5
992,O_107,5
993,M_1938,4
994,O_5674,4
995,O_700,4
996,O_4931-a,4
997,O_2290,4
998,O_2093,4
999,O_168,4
1000,O_314,4
1001,O_2135,4
1002,O_3056,4
1003,A_1852,4
1004,A_5490,4
1005,O_1678,4
1006,O_2283,4
1007,O_1215,4
1008,A_673,4
1009,sb,4
1010,A_1172,4
1011,release,4
1012,O_1844,4
1013,A_753,4
1014,O_573,4
1015,O_569,4
1016,A_5326,4
1017,O_3384,4
1018,A_109,4
1019,M_1246,4
1020,O_4358,4
1021,O_5931,4
1022,M_196,4
1023,M_1185,4
1024,O_2762,4
1025,O_716,4
1026,O_3085,4
1027,O_4809,4
1028,O_5096,4
1029,M_679,4
1030,O_2362,4
1031,O_6159,4
1032,M_902,4
1033,O_4612,4
1034,O_2953,4
1035,A_2205,4
1036,display,4
1037,O_6740,4
1038,O_4672,4
1039,O_3,4
1040,O_209,4
1041,A_624,4
1042,M_390,4
1043,M_366,4
1044,O_5304,4
1045,O_6673,4
1046,A_195,4
1047,O_3453,4
1048,M_497,4
1049,A_131,4
1050,O_408,4
1051,O_1143,4
1052,O_1224,4
1053,M_464,4
1054,O_183,4
1055,O_398,4
1056,O_1666,4
1057,O_491,4
1058,O_5408,4
1059,pjz,4
1060,O_5522,4
1061,za:80,4
1062,A_994,4
1063,O_1129,4
1064,O_3600,4
1065,M_481,4
1066,O_225,4
1067,O_4663,4
1068,O_3239,4
1069,O_2315,4
1070,O_7056,4
1071,O_1596,4
1072,O_1511,4
1073,O_5061,4
1074,O_137,4
1075,A_2102,4
1076,A_3105,4
1077,M_571,4
1078,_-_Portrait_of_a_Woman_-_WGA11479.jpg,4
1079,A_1143-a,4
1080,O_372,4
1081,O_4273,4
1082,M_1643,4
1083,O_5761,4
1084,O_1484,4
1085,ZS,4
1086,O_1188,4
1087,M_757,4
1088,O_1269,4
1089,O_490,4
1090,K_1645,4
1091,rw,4
1092,html#id_62973,4
1093,O_1410,4
1094,M_450,4
1095,M_408,4
1096,M_1737,4
1097,O_1634,4
1098,O_3123,4
1099,A_136,4
1100,O_570,4
1101,global,4
1102,A_615,4
1103,M_567,4
1104,O_883,4
1105,A_1858,4
1106,A_1305,4
1107,O_563,4
1108,O_1417,4
1109,O_1693,4
1110,A_3340,4
1111,O_1471,4
1112,M_264,4
1113,timidity,4
1114,O_6626,4
1115,A_1251,4
1116,M_30,4
1117,O_6749,4
1118,M_270,4
1119,O_1787,4
1120,M_446,4
1121,O_2921,4
1122,O_6766,4
1123,O_162,4
1124,O_5877,4
1125,M_27,4
1126,M_1648,4
1127,O_6738,4
1128,O_2117,4
1129,%2Bknapp,4
1130,O_5260,4
1131,A_897,4
1132,O_1456,4
1133,OP_64,4
1134,O_1603,4
1135,M_200,4
1136,O_379,4
1137,A_84,4
1138,O_879,4
1139,A_3245,4
1140,M_1944,4
1141,A_3174,4
1142,A_5753,4
1143,O_2279,4
1144,O_1193,4
1145,A_1015,4
1146,A_1313,4
1147,O_1528,4
1148,O_5858,4
1149,O_24,4
1150,M_1714,4
1151,O_789,4
1152,O_1212,4
1153,M_622,4
1154,A_15,4
1155,A_394,4
1156,O_192,4
1157,O_7057,4
1158,A_3241,4
1159,O_2384,4
1160,A_2091,4
1161,O_323-c-d,4
1162,O_1164,4
1163,O_1202,4
1164,A_3145,4
1165,O_2040,4
1166,M_99,4
1167,O_1357,4
1168,O_1636,4
1169,A_3246,4
1170,M_112,4
1171,p,4
1172,A_4450,4
1173,O_4938,4
1174,A_370,4
1175,O_655,4
1176,O_2123,4
1177,paris,4
1178,O_5307,4
1179,A_2382,4
1180,O_815,4
1181,O_1503,4
1182,O_991,4
1183,O_6775,4
1184,A_2828,4
1185,M_95,4
1186,O_5136,4
1187,O_4298,4
1188,O_163,4
1189,O_1921,4
1190,O_1185,4
1191,O_3924,4
1192,A_2413,4
1193,A_401,4
1194,O_1046,4
1195,A_1281,4
1196,in2p3.fr,4
1197,O_6629,4
1198,O_2625,4
1199,M_895,4
1200,M_535,4
1201,A_3786,4
1202,O_683,4
1203,O_4644,4
1204,O_948,4
1205,O_2851,4
1206,M_337,4
1207,O_4,4
1208,XD,4
1209,A_785,4
1210,M_570,4
1211,O_277,4
1212,M_183,4
1213,O_3243,4
1214,M_825,4
1215,O_6625,4
1216,HTML,4
1217,O_2856,4
1218,O_6261,4
1219,sochi2014.com,4
1220,O_2186,4
1221,O_494,4
1222,O_223,4
1223,O_6754,4
1224,mhtml,4
1225,O_863,4
1226,O_5403,4
1227,M_134,4
1228,O_6287,4
1229,O_488,4
1230,O_1358,4
1231,M_502,4
1232,O_1680,4
1233,S.2016-04-25,4
1234,M_886,4
1235,M_485,4
1236,O_647,4
1237,O_1265,4
1238,M_1249,4
1239,A_1256,4
1240,O_1551,4
1241,O_5301,4
1242,A_5791,4
1243,O_4675,4
1244,D.1927-10-11,4
1245,O_159,4
1246,O_1116,4
1247,A_367,4
1248,O_5784,4
1249,O_3866,4
1250,O_322-a,4
1251,O_20,4
1252,O_2175,4
1253,K_1393,4
1254,O_4631,4
1255,O_290,4
1256,O_6739,4
1257,O_609,4
1258,O_7065,4
1259,A_2493,4
1260,O_7062,4
1261,ml,4
1262,M_559,4
1263,h,4
1264,O_2705,4
1265,M_461,4
1266,O_6225,4
1267,sc,4
1268,O_4190,4
1269,M_344,4
1270,O_2620,4
1271,O_1362,4
1272,html#m02,4
1273,O_3002,4
1274,O_245,4
1275,O_1421,4
1276,M_546,4
1277,O_6004,4
1278,A_1701,4
1279,A_3020,4
1280,O_2291,4
1281,O_527,4
1282,O_5890,4
1283,M_204,4
1284,M_612,4
1285,O_686,4
1286,O_3738,4
1287,M_518,4
1288,A_192,4
1289,M_333,4
1290,O_437,4
1291,O_3728,4
1292,O_814,4
1293,O_3857,4
1294,O_5473,4
1295,O_1126,4
1296,TOTL,4
1297,M_136,4
1298,O_1681,4
1299,O_5267,4
1300,O_1231,4
1301,A_3412,4
1302,O_4687,4
1303,O_656,4
1304,O_2484,4
1305,O_941,4
1306,A_1032,4
1307,O_324-c-d,4
1308,A_238,4
1309,A_1244,4
1310,M_165,4
1311,O_5684,4
1312,O_269,4
1313,presentation,4
1314,O_7066,4
1315,M_1258,4
1316,O_158,4
1317,O_4579,4
1318,O_459,4
1319,M_146,4
1320,O_6267,4
1321,M_593,4
1322,O_867,4
1323,O_326,4
1324,O_4567,4
1325,naver,4
1326,O_1660,4
1327,O_5140,4
1328,A_509,4
1329,A_2508,4
1330,S.1977-10-27,4
1331,A_1253,4
1332,O_1391,4
1333,O_2114,4
1334,A_5318,4
1335,M_227,4
1336,praha2.cz,4
1337,O_304,4
1338,A_190,4
1339,O_6486,4
1340,O_4794,4
1341,O_1096,4
1342,O_562,4
1343,A_661,4
1344,O_6081,4
1345,O_1026,4
1346,M_596,4
1347,zinfos974.com,4
1348,O_623,4
1349,O_484,4
1350,Bildarchiv,4
1351,O_772,4
1352,O_5918,4
1353,A_855,4
1354,O_4776,4
1355,A_204,4
1356,O_1696,4
1357,M_600,4
1358,M_578,4
1359,O_187,4
1360,O_606,4
1361,O_152,4
1362,M_287,4
1363,M_838,4
1364,es:8888,4
1365,M_143,4
1366,M_638,4
1367,O_1089,4
1368,O_1976,4
1369,O_1059,4
1370,O_677,4
1371,pdf#page=6,4
1372,M_1666,4
1373,A_672,4
1374,A_5564,4
1375,O_6778,4
1376,O_1291,4
1377,O_1295,4
1378,M_1193,4
1379,O_3083,4
1380,M_557,4
1381,O_825,4
1382,univ-rennes2.fr,4
1383,A_1049,4
1384,A_862,4
1385,S.1997-09-17,4
1386,K_254,4
1387,M_121,4
1388,O_1387,4
1389,O_468,4
1390,O_2900,4
1391,O_1168,4
1392,M_756,4
1393,A_2975,4
1394,M_341,4
1395,O_298,4
1396,O_470,4
1397,O_697,4
1398,cash,4
1399,M_347,4
1400,M_226,4
1401,O_996,4
1402,O_684,4
1403,O_2131,4
1404,O_4026,4
1405,O_208,4
1406,O_578,4
1407,O_1842,4
1408,O_5934,4
1409,O_848,4
1410,A_1519,4
1411,A_142,4
1412,O_294,4
1413,O_966,4
1414,O_2214,4
1415,M_662,4
1416,O_5986,4
1417,O_552,4
1418,O_1534,4
1419,M_609,4
1420,A_3063,4
1421,O_6782,4
1422,O_5026,4
1423,snc,4
1424,O_413,4
1425,M_235,4
1426,pr,4
1427,O_355,4
1428,A_1144-a,4
1429,O_6463,4
1430,O_435,4
1431,O_741,4
1432,O_1266,4
1433,O_2043,4
1434,ao,4
1435,O_745,4
1436,O_1756,4
1437,O_4344,4
1438,uniroma1.it,4
1439,O_1971,4
1440,M_55,4
1441,O_506,4
1442,O_1162,4
1443,O_5256,4
1444,O_5308,4
1445,A_733,4
1446,O_4853,4
1447,O_1262,4
1448,A_3175,4
1449,gera_pagina,4
1450,A_3144,4
1451,O_336,4
1452,O_558,4
1453,O_5327,4
1454,A_6175,4
1455,O_1988,4
1456,M_599,4
1457,O_11,4
1458,O_312,4
1459,M_613,4
1460,canon,4
1461,O_1960,4
1462,O_461,4
1463,bz,4
1464,php#,4
1465,O_2387,4
1466,%2F,4
1467,pctv,4
1468,O_847,4
1469,O_6320,4
1470,A_48,4
1471,O_2480,4
1472,types,4
1473,O_6368,4
1474,O_893,4
1475,_4,4
1476,O_1414,4
1477,univ-paris3.fr,4
1478,O_1377,4
1479,A_1416,4
1480,O_1382,4
1481,O_4275,4
1482,A_2182,4
1483,_Conway,4
1484,O_5616,4
1485,O_125,4
1486,O_990,4
1487,O_2556,4
1488,O_2071,4
1489,O_894,4
1490,as,4
1491,M_130,4
1492,O_820,4
1493,O_364,4
1494,O_160,4
1495,O_1720,4
1496,M_564,4
1497,O_1300,4
1498,O_1524,4
1499,O_5979,4
1500,D.1989-06-29,4
1501,O_766,4
1502,O_230,4
1503,M_639,4
1504,M_1064,4
1505,O_1593,4
1506,O_774,4
1507,O_717,4
1508,O_2621,4
1509,M_611,4
1510,O_1214,4
1511,O_4353,4
1512,O_628,4
1513,A_680,4
1514,O_566,4
1515,O_1206,4
1516,O_3050,4
1517,_1820.jpg,4
1518,O_1111,4
1519,dj,4
1520,A_3173,4
1521,O_1306,4
1522,O_1459,4
1523,O_1141,4
1524,O_1384,4
1525,A_975,4
1526,A_3042,4
1527,O_2603,4
1528,A_406,4
1529,O_3251,4
1530,html#orgs,4
1531,O_652,4
1532,O_4881,4
1533,O_425,4
1534,M_1192,4
1535,A_5311,4
1536,mainsection,4
1537,liputan6.com,4
1538,A_1243,4
1539,A_3044,4
1540,K_1002,4
1541,O_170,4
1542,rmf24.pl,4
1543,K_1647,4
1544,O_3627,4
1545,O_1508,4
1546,O_3258,4
1547,M_68,4
1548,O_909,4
1549,O_616,4
1550,O_651,4
1551,A_885,4
1552,_1515.jpg,4
1553,A_110,4
1554,M_1659,4
1555,M_269,4
1556,O_2398,4
1557,O_53,4
1558,O_4175,4
1559,A_4573,4
1560,O_1221,4
1561,O_5706,4
1562,O_410,4
1563,O_1248,4
1564,M_515,4
1565,jm,4
1566,O_1018,4
1567,O_6771,4
1568,K_765,4
1569,O_3116,4
1570,content,4
1571,M_1078,4
1572,psml,4
1573,O_1799,4
1574,O_1854,4
1575,S.1989-10-01,4
1576,A_1201,4
1577,O_1069,4
1578,O_1859,4
1579,O_4950,4
1580,A_413,4
1581,S.2002-09-12,4
1582,O_489,4
